,Total,,,,,,,,,Home,,,,,,,,,Away,,,,,,,,
Team,Rank,P,M,W,D,L,G,GA,GD,Rank,P,M,W,D,L,G,GA,GD,Rank,P,M,W,D,L,G,GA,GD
Burnley,1,69,31,20,9,2,62,27,35,1,41,17,12,5,0,36,13,23,1,28,14,8,4,2,26,14,12
Sheffield United,2,61,31,18,7,6,52,27,25,2,33,16,10,3,3,34,16,18,2,28,15,8,4,3,18,11,7
Middlesbrough,3,54,32,16,6,10,53,37,16,4,29,15,8,5,2,23,12,11,6,25,17,8,1,8,30,25,5
Luton Town,4,50,31,13,11,7,39,31,8,13,22,15,5,7,3,20,16,4,3,28,16,8,4,4,19,15,4
Sunderland,5,48,31,13,9,9,46,33,13,12,22,15,6,4,5,20,16,4,5,26,16,7,5,4,26,17,9
Watford,6,47,32,12,11,9,38,35,3,9,25,15,7,4,4,21,14,7,8,22,17,5,7,5,17,21,-4
Millwall,7,46,30,13,7,10,36,30,6,6,28,14,8,4,2,21,9,12,16,18,16,5,3,8,15,21,-6
Blackburn Rovers,8,46,31,14,4,13,33,37,-4,7,28,14,9,1,4,20,13,7,17,18,17,5,3,9,13,24,-11
Norwich City,9,45,31,13,6,12,43,36,7,14,22,16,6,4,6,22,20,2,7,23,15,7,2,6,21,16,5
West Bromwich Albion,10,45,31,12,9,10,40,33,7,8,26,16,7,5,4,22,15,7,11,19,15,5,4,6,18,18,0
Coventry City,11,42,31,11,9,11,33,33,0,5,29,17,8,5,4,21,15,6,21,13,14,3,4,7,12,18,-6
Swansea City,12,42,31,11,9,11,45,46,-1,10,23,15,7,2,6,25,21,4,12,19,16,4,7,5,20,25,-5
Hull City,13,41,32,11,8,13,38,47,-9,15,21,16,6,3,7,18,23,-5,9,20,16,5,5,6,20,24,-4
Preston North End,14,41,31,11,8,12,28,37,-9,23,14,16,3,5,8,10,21,-11,4,27,15,8,3,4,18,16,2
Reading,15,41,31,12,5,14,35,46,-11,3,30,15,9,3,3,24,17,7,23,11,16,3,2,11,11,29,-18
Bristol City,16,40,31,10,10,11,41,40,1,11,23,17,6,5,6,21,18,3,18,17,14,4,5,5,20,22,-2
Queens Park Rangers,17,39,32,10,9,13,33,43,-10,19,19,16,5,4,7,18,23,-5,10,20,16,5,5,6,15,20,-5
Birmingham City,18,38,31,10,8,13,36,40,-4,17,20,17,5,5,7,20,20,0,14,18,14,5,3,6,16,20,-4
Stoke City,19,37,31,10,7,14,36,38,-2,18,19,16,5,4,7,20,18,2,15,18,15,5,3,7,16,20,-4
Rotherham United,20,33,31,7,12,12,34,42,-8,16,20,14,5,5,4,24,17,7,22,13,17,2,7,8,10,25,-15
Cardiff City,21,32,32,8,8,16,24,36,-12,21,17,16,4,5,7,12,16,-4,19,15,16,4,3,9,12,20,-8
Wigan Athletic,22,30,31,7,9,15,29,50,-21,24,12,16,3,3,10,12,30,-18,13,18,15,4,6,5,17,20,-3
Huddersfield Town,23,28,31,7,7,17,28,42,-14,20,18,15,5,3,7,14,15,-1,24,10,16,2,4,10,14,27,-13
Blackpool,24,28,31,6,10,15,31,47,-16,22,14,15,3,5,7,16,21,-5,20,14,16,3,5,8,15,26,-11